 	auditory system disorder	breast disorder	cancer or benign tumor	cardiovascular disorder	connective tissue disorder	digestive system disorder	disorder of visual system	endocrine system disorder	hematologic disorder	immune system disorder	inflammatory disease	injury	integumentary system disorder	infectious disease or post-infectious disorder	metabolic disease	musculoskeletal system disorder	nervous system disorder	nutritional disorder	otorhinolaryngologic disease	poisoning	psychiatric disorder	respiratory system disorder	urinary system disorder
Thymelaeaceae	0.0	0.12121212121212122	0.38271604938271603	0.03571428571428571	0.3409090909090909	0.13333333333333333	0.0	0.20192307692307693	0.1827956989247312	0.33636363636363636	0.16574585635359115	0.0	0.16853932584269662	0.10747663551401869	0.2564102564102564	0.3375	0.009615384615384616	1.0	0.0	0.0	0.007874015748031496	0.22727272727272727	0.12
Pottiaceae	0.0	0.09090909090909091	0.14814814814814814	0.0	0.18181818181818182	0.057777777777777775	0.0	0.04326923076923077	0.0967741935483871	0.045454545454545456	0.3756906077348066	0.04878048780487805	0.0449438202247191	0.102803738317757	0.08547008547008547	0.95	0.002403846153846154	0.0	0.26666666666666666	0.0	0.0	0.16666666666666666	0.48
Clusiaceae	0.0	0.19696969696969696	0.5061728395061729	0.25	0.29545454545454547	0.36444444444444446	0.0	0.3557692307692308	0.1827956989247312	0.33636363636363636	0.27624309392265195	0.1951219512195122	0.30337078651685395	0.2383177570093458	0.4444444444444444	0.2375	0.055288461538461536	0.8333333333333334	0.06666666666666667	0.0	0.03412073490813648	0.12121212121212122	0.2
Colchicaceae	0.0	0.0	0.024691358024691357	0.017857142857142856	0.5681818181818182	0.035555555555555556	0.0	0.04326923076923077	0.043010752688172046	0.2636363636363636	0.14917127071823205	0.024390243902439025	0.06741573033707865	0.018691588785046728	0.21367521367521367	0.325	0.01201923076923077	0.05555555555555555	0.06666666666666667	0.0	0.0026246719160104987	0.015151515151515152	0.12
Capparaceae	0.0	0.0	0.012345679012345678	0.05357142857142857	0.3409090909090909	0.1511111111111111	0.0	0.12980769230769232	0.03225806451612903	0.15454545454545454	0.07734806629834254	0.17073170731707318	0.056179775280898875	0.06542056074766354	0.18803418803418803	0.2125	0.01201923076923077	0.05555555555555555	0.06666666666666667	0.0	0.005249343832020997	0.07575757575757576	0.24
Acoraceae	1.0	0.0	0.024691358024691357	0.42857142857142855	0.045454545454545456	0.057777777777777775	0.0	0.04326923076923077	0.010752688172043012	0.01818181818181818	0.022099447513812154	0.04878048780487805	0.011235955056179775	0.037383177570093455	0.07692307692307693	0.1125	0.125	0.0	0.0	0.0	0.06036745406824147	0.06060606060606061	0.08
Alstroemeriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00909090909090909	0.0055248618784530384	0.0	0.033707865168539325	0.0794392523364486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chlorellaceae	0.0	1.0	0.20987654320987653	0.08928571428571429	0.11363636363636363	0.1288888888888889	0.0	0.11538461538461539	0.0967741935483871	0.10909090909090909	0.36464088397790057	0.024390243902439025	0.033707865168539325	0.04672897196261682	0.08547008547008547	0.2	0.01201923076923077	0.0	0.0	0.0	0.0	0.06060606060606061	0.12
Caulerpaceae	0.0	0.0	0.012345679012345678	0.0	0.06818181818181818	0.008888888888888889	0.0	0.014423076923076924	0.010752688172043012	0.02727272727272727	0.016574585635359115	0.0	0.0	0.004672897196261682	0.03418803418803419	0.0375	0.002403846153846154	0.2222222222222222	0.0	0.0	0.0026246719160104987	0.0	0.0
Leucobryaceae	0.0	0.015151515151515152	0.06172839506172839	0.017857142857142856	0.0	0.013333333333333334	0.0	0.014423076923076924	0.0	0.01818181818181818	0.016574585635359115	0.0	0.011235955056179775	0.0	0.017094017094017096	0.0	0.002403846153846154	0.0	0.13333333333333333	0.0	0.0	0.030303030303030304	0.0
Hyacinthaceae	0.0	0.07575757575757576	0.07407407407407407	0.017857142857142856	0.0	0.008888888888888889	0.0	0.004807692307692308	0.010752688172043012	0.00909090909090909	0.016574585635359115	0.0	0.056179775280898875	0.014018691588785047	0.017094017094017096	0.0125	0.0	0.0	0.0	0.5	0.0	0.045454545454545456	0.0
Dipterocarpaceae	0.0	0.030303030303030304	0.04938271604938271	0.03571428571428571	0.045454545454545456	0.03111111111111111	0.0	0.02403846153846154	0.021505376344086023	0.01818181818181818	0.027624309392265192	0.024390243902439025	0.02247191011235955	0.018691588785046728	0.042735042735042736	0.025	0.002403846153846154	0.0	0.0	0.0	0.0	0.045454545454545456	0.0
