 	Auditory	Breast	Cancer	Cardiovascular	Connective tissue	Digestive	Visual	Endocrine	Hematologic	Immune	Inflammatory	Injury	Integumentary	Infectious	Metabolic	Musculoskeletal	Nervous	Nutritional	Otorhinolaryngologic	Poisoning	Psychiatric	Respiratory	Urinary
Ixeris	0.0	0.0	0.0	0.0	0.125	0.125	0.0	0.125	0.0	0.125	0.25	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.125
Parkia	0.0	0.0	0.25	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sesuvium	0.0	0.0	0.0	0.04	0.04	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.04	0.0	0.2	0.04	0.16	0.2	0.0	0.0	0.16	0.04	0.04
Lycoris	0.0	0.0	0.0625	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.1875	0.125	0.1875	0.0625	0.0	0.0	0.125	0.0	0.0	0.0	0.0625	0.0625	0.0
Orostachys	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285
Pterospermum	0.0	0.0	0.05555555555555555	0.05555555555555555	0.0	0.05555555555555555	0.0	0.05555555555555555	0.0	0.0	0.16666666666666666	0.05555555555555555	0.1111111111111111	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2777777777777778	0.0
Mazus	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0
Callistemon	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.125	0.125	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rourea	0.0	0.0	0.0	0.0	0.11764705882352941	0.17647058823529413	0.0	0.11764705882352941	0.0	0.11764705882352941	0.11764705882352941	0.0	0.058823529411764705	0.058823529411764705	0.11764705882352941	0.11764705882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Platostoma	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aglaia	0.0	0.0	0.1111111111111111	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.2222222222222222	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pavetta	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.2	0.0
Gomphocarpus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acmella	0.0	0.0	0.0	0.0	0.07142857142857142	0.07142857142857142	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0
